ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T23:01:32.375272,ENAUSDT,0.6289,0.9259380996788993,0.921283722775299,76.3157894736842,-0.0850909090909091
2025-10-02T23:01:32.375272,AVAXUSDT,30.94,0.8266108234887458,0.7802212474045559,71.05263157894737,0.26533115290269826
2025-10-02T23:01:32.375272,DOGEUSDT,0.26079,0.7658559104585745,0.7495349985182521,65.78947368421052,0.21387686723439914
2025-10-02T23:01:32.375272,PEPEUSDT,1.02e-05,0.7025865892862483,0.647384973929514,60.526315789473685,0.0418794688457611
2025-10-02T23:01:32.375272,SOLUSDT,233.38,0.6883217588030657,0.7075167699086976,55.26315789473684,0.11309325065585507
2025-10-02T23:01:32.375272,SUIUSDT,3.5708,0.6765465940920747,0.6883976982661817,50.0,0.07688133140376263
2025-10-02T23:01:32.375272,ADAUSDT,0.8668,0.5669324432512522,0.5521084721216276,44.73684210526316,0.038567493112947604
2025-10-02T23:01:32.375272,BNBUSDT,1094.72,0.5203974840275383,0.5770065066863483,39.473684210526315,0.2841512092040386
2025-10-02T23:01:32.375272,LTCUSDT,119.16,0.5203410225434536,0.5451808289036404,34.21052631578947,0.06621331424481025
2025-10-02T23:01:32.375272,ETHUSDT,4469.5,0.5163592256341449,0.5613242548028347,28.94736842105263,0.03321391424939324
2025-10-02T23:01:32.375272,XRPUSDT,3.038,0.4302020351758598,0.43909938919372193,23.68421052631579,0.06208944793850435
2025-10-02T23:01:32.375272,BTCUSDT,120409.99,0.2698274774308226,0.3031483850266683,18.42105263157895,0.08269183003489489
2025-10-02T23:01:32.375272,USDEUSDT,1.0004,0.010474073953925037,0.009689899131237776,13.157894736842104,-0.0003996802557952872
2025-10-02T23:01:32.375272,USDCUSDT,0.9993,0.004471420362701877,0.004560031276261894,7.894736842105263,-0.0005001000200040018
2025-10-02T23:01:32.375272,FDUSDUSDT,0.9982,0.004291540205987913,0.00434438238067714,2.6315789473684212,0.00030063132578406204
2025-10-02T23:01:32.375272,2ZUSDT,0.61651,,,0.0,
ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T23:03:51.060855,BARDUSDT,0.8778,3.076287395319871,2.7126034091375018,92.85714285714286,-0.17102653697232972
2025-10-02T23:03:51.060855,XPLUSDT,0.896,2.817004286750145,1.8490323581178296,78.57142857142857,-0.2983637360056369
2025-10-02T23:03:51.060855,ZECUSDT,132.6,1.9232464512845595,2.5111087793919724,64.28571428571429,2.189559778686553
2025-10-02T23:03:51.060855,PUMPUSDT,0.00701,1.6717243608344827,1.5224563511016427,50.0,0.18937722721873396
2025-10-02T23:03:51.060855,ENAUSDT,0.629,0.9261088772136059,0.9209859073774871,35.714285714285715,-0.08523636363636367
2025-10-02T23:03:51.060855,PEPEUSDT,1.021e-05,0.703301936503443,0.6502974526458736,21.428571428571427,0.04392236976506658
2025-10-02T23:03:51.060855,SUIUSDT,3.5723,0.676634119323501,0.6886150998861561,7.142857142857143,0.077393873613121
2025-10-02T23:03:51.060855,2ZUSDT,0.61168,,,0.0,
ts,symbol,last,volatility,ewma_volatility,vol_percentile,mover
2025-10-02T23:04:55.372328,ALPINEUSDT,1.473,5.564858489557095,6.922800638068887,97.22222222222223,-0.1893230599889928
2025-10-02T23:04:55.372328,AVNTUSDT,1.1249,3.585823016603693,3.5807682701000245,91.66666666666667,-0.09624035989717217
2025-10-02T23:04:55.372328,FFUSDT,0.18351,3.40863637699461,6.931215709024912,86.11111111111111,-0.3486316686188904
2025-10-02T23:04:55.372328,SOMIUSDT,0.8119,3.402557266294756,2.5546787571630123,80.55555555555556,0.6508033353670937
2025-10-02T23:04:55.372328,BARDUSDT,0.876,3.076989482342298,2.7134449161907668,75.0,-0.17263197657946927
2025-10-02T23:04:55.372328,XPLUSDT,0.8949,2.8169908370013834,1.850027051336863,69.44444444444444,-0.2995380881547013
2025-10-02T23:04:55.372328,ZECUSDT,131.95,1.9216139737978328,2.505010240957424,63.888888888888886,2.1647822949242244
2025-10-02T23:04:55.372328,WLDUSDT,1.351,1.827420233970165,1.2986868787248107,58.333333333333336,0.5213963963963963
2025-10-02T23:04:55.372328,PUMPUSDT,0.007011,1.6717115689131008,1.5224576685201787,52.77777777777778,0.18920753436280346
2025-10-02T23:04:55.372328,C98USDT,0.0676,1.519177644678012,1.822678845654387,47.22222222222222,0.37678207739307523
2025-10-02T23:04:55.372328,EIGENUSDT,1.79,1.436110518388781,1.5050182737845623,41.666666666666664,0.4809602649006621
