human_utc,timestamp,close,pct15_pct_str,pct30_pct_str,pct60_pct_str,long_signal,short_quick,action,action_desc,pos_side,pos_entry,pos_size,pos_notional,equity_fmt
2025-10-01 17:00:00 UTC,2025-10-01 17:00:00+00:00,14.847,+2.17%,+1.08%,-1.87%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 17:15:00 UTC,2025-10-01 17:15:00+00:00,15.265,+2.82%,+5.04%,+2.48%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 17:30:00 UTC,2025-10-01 17:30:00+00:00,15.406,+0.92%,+3.77%,+4.88%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 17:45:00 UTC,2025-10-01 17:45:00+00:00,15.592,+1.21%,+2.14%,+7.29%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 18:00:00 UTC,2025-10-01 18:00:00+00:00,15.602,+0.06%,+1.27%,+5.09%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 18:15:00 UTC,2025-10-01 18:15:00+00:00,15.761,+1.02%,+1.08%,+3.25%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 18:30:00 UTC,2025-10-01 18:30:00+00:00,15.629,-0.84%,+0.17%,+1.45%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 18:45:00 UTC,2025-10-01 18:45:00+00:00,15.606,-0.15%,-0.98%,+0.09%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 19:00:00 UTC,2025-10-01 19:00:00+00:00,15.595,-0.07%,-0.22%,-0.04%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 19:15:00 UTC,2025-10-01 19:15:00+00:00,15.712,+0.75%,+0.68%,-0.31%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 19:30:00 UTC,2025-10-01 19:30:00+00:00,15.591,-0.77%,-0.03%,-0.24%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 19:45:00 UTC,2025-10-01 19:45:00+00:00,15.636,+0.29%,-0.48%,+0.19%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 20:00:00 UTC,2025-10-01 20:00:00+00:00,15.028,-3.89%,-3.61%,-3.64%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 20:15:00 UTC,2025-10-01 20:15:00+00:00,14.992,-0.24%,-4.12%,-4.58%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 20:30:00 UTC,2025-10-01 20:30:00+00:00,14.712,-1.87%,-2.10%,-5.64%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 20:45:00 UTC,2025-10-01 20:45:00+00:00,14.884,+1.17%,-0.72%,-4.81%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 21:00:00 UTC,2025-10-01 21:00:00+00:00,15.239,+2.39%,+3.58%,+1.40%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 21:15:00 UTC,2025-10-01 21:15:00+00:00,15.167,-0.47%,+1.90%,+1.17%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 21:30:00 UTC,2025-10-01 21:30:00+00:00,15.0,-1.10%,-1.57%,+1.96%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 21:45:00 UTC,2025-10-01 21:45:00+00:00,15.076,+0.51%,-0.60%,+1.29%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 22:00:00 UTC,2025-10-01 22:00:00+00:00,15.068,-0.05%,+0.45%,-1.12%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 22:15:00 UTC,2025-10-01 22:15:00+00:00,15.11,+0.28%,+0.23%,-0.38%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 22:30:00 UTC,2025-10-01 22:30:00+00:00,15.032,-0.52%,-0.24%,+0.21%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 22:45:00 UTC,2025-10-01 22:45:00+00:00,15.164,+0.88%,+0.36%,+0.58%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 23:00:00 UTC,2025-10-01 23:00:00+00:00,14.893,-1.79%,-0.92%,-1.16%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 23:15:00 UTC,2025-10-01 23:15:00+00:00,15.013,+0.81%,-1.00%,-0.64%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 23:30:00 UTC,2025-10-01 23:30:00+00:00,14.96,-0.35%,+0.45%,-0.48%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-01 23:45:00 UTC,2025-10-01 23:45:00+00:00,15.48,+3.48%,+3.11%,+2.08%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 00:00:00 UTC,2025-10-02 00:00:00+00:00,15.59,+0.71%,+4.21%,+4.68%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 00:15:00 UTC,2025-10-02 00:15:00+00:00,15.761,+1.10%,+1.82%,+4.98%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 00:30:00 UTC,2025-10-02 00:30:00+00:00,15.7,-0.39%,+0.71%,+4.95%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 00:45:00 UTC,2025-10-02 00:45:00+00:00,15.428,-1.73%,-2.11%,-0.34%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 01:00:00 UTC,2025-10-02 01:00:00+00:00,15.701,+1.77%,+0.01%,+0.71%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 01:15:00 UTC,2025-10-02 01:15:00+00:00,15.824,+0.78%,+2.57%,+0.40%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 01:30:00 UTC,2025-10-02 01:30:00+00:00,16.22,+2.50%,+3.31%,+3.31%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 01:45:00 UTC,2025-10-02 01:45:00+00:00,16.559,+2.09%,+4.64%,+7.33%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 02:00:00 UTC,2025-10-02 02:00:00+00:00,16.283,-1.67%,+0.39%,+3.71%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 02:15:00 UTC,2025-10-02 02:15:00+00:00,16.03,-1.55%,-3.19%,+1.30%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 02:30:00 UTC,2025-10-02 02:30:00+00:00,15.962,-0.42%,-1.97%,-1.59%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 02:45:00 UTC,2025-10-02 02:45:00+00:00,15.985,+0.14%,-0.28%,-3.47%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 03:00:00 UTC,2025-10-02 03:00:00+00:00,15.814,-1.07%,-0.93%,-2.88%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 03:15:00 UTC,2025-10-02 03:15:00+00:00,15.958,+0.91%,-0.17%,-0.45%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 03:30:00 UTC,2025-10-02 03:30:00+00:00,15.9,-0.36%,+0.54%,-0.39%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 03:45:00 UTC,2025-10-02 03:45:00+00:00,15.743,-0.99%,-1.35%,-1.51%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 04:00:00 UTC,2025-10-02 04:00:00+00:00,15.101,-4.08%,-5.03%,-4.51%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
2025-10-02 04:15:00 UTC,2025-10-02 04:15:00+00:00,14.801,-1.99%,-5.98%,-7.25%,False,False,,,short,14.538727,137.56362575623024,2000.0,"$9,998.60"
